A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
891.0,46.0,male,2,own,little,Missing,1829.0,15,0.0
892.0,38.0,male,1,own,little,little,2171.0,12,0.0
893.0,34.0,male,2,own,little,moderate,5800.0,36,0.0
894.0,29.0,male,2,own,Missing,Missing,1169.0,18,0.0
895.0,31.0,male,3,own,Missing,Missing,8947.0,36,0.0
896.0,28.0,female,3,rent,little,little,2606.0,21,0.0
897.0,35.0,female,2,own,rich,Missing,1592.0,12,0.0
898.0,33.0,female,1,rent,Missing,Missing,2186.0,15,0.0
899.0,42.0,male,2,own,little,little,4153.0,18,0.0
900.0,43.0,male,2,rent,little,little,2625.0,16,0.0
901.0,44.0,male,2,own,Missing,Missing,3485.0,20,0.0
902.0,42.0,male,2,free,Missing,Missing,10477.0,36,0.0
903.0,40.0,male,2,rent,Missing,Missing,1386.0,15,0.0
904.0,36.0,male,3,own,little,Missing,1278.0,24,0.0
905.0,20.0,male,3,rent,little,little,1107.0,12,0.0
906.0,24.0,male,1,own,Missing,little,3763.0,21,0.0
907.0,27.0,male,2,own,Missing,moderate,3711.0,36,0.0
908.0,46.0,female,1,own,little,Missing,3594.0,15,0.0
909.0,33.0,female,1,own,Missing,moderate,3195.0,9,0.0
910.0,34.0,female,2,own,little,Missing,4454.0,36,0.0
911.0,25.0,female,1,own,little,moderate,4736.0,24,0.0
912.0,25.0,female,2,own,Missing,moderate,2991.0,30,0.0
913.0,28.0,male,2,own,rich,Missing,2142.0,11,0.0
914.0,31.0,male,2,rent,little,little,3161.0,24,0.0
915.0,32.0,female,3,own,little,moderate,18424.0,48,0.0
916.0,32.0,male,2,own,moderate,Missing,2848.0,10,0.0
917.0,68.0,male,3,own,little,little,14896.0,6,0.0
918.0,33.0,male,2,own,moderate,little,2359.0,24,0.0
919.0,39.0,male,3,rent,little,little,3345.0,24,0.0
920.0,28.0,female,2,own,little,Missing,1817.0,18,0.0
921.0,37.0,male,3,own,quite rich,Missing,12749.0,48,0.0
922.0,22.0,female,2,rent,little,little,1366.0,9,0.0
923.0,30.0,male,2,rent,little,moderate,2002.0,12,0.0
924.0,55.0,male,2,own,little,little,6872.0,24,0.0
925.0,46.0,male,2,own,little,little,697.0,12,0.0
926.0,21.0,female,2,rent,little,little,1049.0,18,0.0
927.0,39.0,male,2,free,little,little,10297.0,48,0.0
928.0,58.0,male,2,own,Missing,Missing,1867.0,30,0.0
929.0,43.0,male,1,own,little,little,1344.0,12,0.0
930.0,24.0,male,1,own,little,little,1747.0,24,0.0
931.0,22.0,female,2,own,little,moderate,1670.0,9,0.0
932.0,30.0,male,2,own,little,Missing,1224.0,9,0.0
933.0,42.0,male,2,own,quite rich,Missing,522.0,12,0.0
934.0,23.0,female,2,own,little,little,1498.0,12,0.0
935.0,30.0,male,3,own,moderate,moderate,1919.0,30,0.0
936.0,28.0,female,1,own,little,rich,745.0,9,0.0
937.0,30.0,male,3,rent,little,moderate,2063.0,6,0.0
938.0,42.0,male,2,free,little,moderate,6288.0,60,0.0
939.0,46.0,male,3,own,Missing,Missing,6842.0,24,0.0
940.0,45.0,male,3,own,Missing,Missing,3527.0,12,0.0
941.0,31.0,male,1,own,little,Missing,1546.0,10,0.0
942.0,31.0,male,2,own,Missing,Missing,929.0,24,0.0
943.0,42.0,male,1,own,little,Missing,1455.0,4,0.0
944.0,46.0,female,2,rent,little,little,1845.0,15,0.0
945.0,30.0,female,2,own,quite rich,moderate,8358.0,48,0.0
946.0,30.0,male,2,free,quite rich,little,3349.0,24,0.0
947.0,38.0,male,3,own,Missing,Missing,2859.0,12,0.0
948.0,43.0,male,1,own,little,Missing,1533.0,18,0.0
949.0,31.0,male,2,own,moderate,Missing,3621.0,24,0.0
950.0,40.0,male,0,own,little,moderate,3590.0,18,0.0
951.0,24.0,male,2,own,little,little,2145.0,36,0.0
952.0,28.0,female,2,rent,quite rich,moderate,4113.0,24,0.0
953.0,26.0,female,3,own,little,Missing,10974.0,36,0.0
954.0,29.0,female,2,own,little,little,1893.0,12,0.0
955.0,57.0,female,3,rent,rich,little,1231.0,24,0.0
956.0,49.0,male,1,own,Missing,rich,3656.0,30,0.0
957.0,37.0,male,1,own,little,moderate,1154.0,9,0.0
958.0,45.0,male,1,own,little,little,4006.0,28,0.0
959.0,30.0,male,2,free,moderate,moderate,3069.0,24,0.0
960.0,30.0,male,2,rent,little,Missing,1740.0,6,0.0
961.0,47.0,male,2,own,little,moderate,2353.0,21,0.0
962.0,29.0,male,2,own,Missing,Missing,3556.0,15,0.0
963.0,35.0,male,2,own,quite rich,Missing,2397.0,24,0.0
964.0,22.0,male,1,own,little,moderate,454.0,6,0.0
965.0,26.0,female,2,own,Missing,moderate,1715.0,30,0.0
966.0,23.0,male,1,own,quite rich,moderate,2520.0,27,0.0
967.0,54.0,female,3,rent,little,Missing,3568.0,15,0.0
968.0,29.0,male,2,rent,Missing,Missing,7166.0,42,0.0
969.0,40.0,male,1,own,little,little,3939.0,11,0.0
970.0,22.0,male,2,own,moderate,moderate,1514.0,15,0.0
971.0,43.0,male,1,own,little,Missing,7393.0,24,0.0
972.0,29.0,female,0,rent,little,little,1193.0,24,0.0
973.0,36.0,male,2,rent,little,little,7297.0,60,0.0
974.0,33.0,female,2,own,little,Missing,2831.0,30,0.0
975.0,57.0,female,1,own,quite rich,rich,1258.0,24,0.0
976.0,64.0,female,2,own,little,moderate,753.0,6,0.0
977.0,42.0,male,2,own,Missing,moderate,2427.0,18,0.0
978.0,47.0,male,1,own,little,Missing,2538.0,24,0.0
979.0,25.0,male,2,rent,moderate,moderate,1264.0,15,0.0
980.0,49.0,male,2,own,little,moderate,8386.0,30,0.0
981.0,33.0,male,3,rent,little,Missing,4844.0,48,0.0
982.0,28.0,female,3,own,moderate,rich,2923.0,21,0.0
983.0,26.0,male,2,own,little,little,8229.0,36,0.0
984.0,30.0,male,1,own,little,Missing,2028.0,24,0.0
985.0,25.0,female,2,rent,little,little,1433.0,15,0.0
986.0,33.0,male,2,own,little,rich,6289.0,42,0.0
987.0,64.0,female,2,own,moderate,Missing,1409.0,13,0.0
988.0,29.0,male,3,free,little,little,6579.0,24,0.0
989.0,48.0,male,1,own,little,moderate,1743.0,24,0.0
990.0,37.0,male,1,own,Missing,Missing,3565.0,12,0.0
991.0,34.0,male,1,own,moderate,Missing,1569.0,15,0.0
992.0,23.0,male,1,rent,Missing,little,1936.0,18,0.0
993.0,30.0,male,3,own,little,little,3959.0,36,0.0
994.0,50.0,male,2,own,Missing,Missing,2390.0,12,0.0
995.0,31.0,female,1,own,little,Missing,1736.0,12,0.0
996.0,40.0,male,3,own,little,little,3857.0,30,0.0
997.0,38.0,male,2,own,little,Missing,804.0,12,0.0
998.0,23.0,male,2,free,little,little,1845.0,45,0.0
999.0,27.0,male,2,own,moderate,moderate,4576.0,45,0.0
